"date","person","coin","start","sequence"
"2023-01-14 09:42:58","AlexandraSarafoglou","1EUR","t","ttthhthhthhttttxttttthhxtxhtthttthtxtttthtthhtxtthtthhhttththhthhthxtthhtthtththhthhhthxxtxhhhhhhhhhhhtthhhth"
"2023-01-14 09:49:37","AlexandraSarafoglou","1EUR","h","hhththttttutxthhxxtthhhhhhthhxththtttthttthhthtxhthhhttthxhxthhttxhthhtththhtthhtthhtxthtthxhxtttthtthhthhhhhxhht"
"2023-01-14 09:54:22","AlexandraSarafoglou","1EUR","t","hhthhttttthttthhxxhthhhtttthhthtththhthhhhhtthhthhhtthhhthtthhtttthhhhhhttthhhtthhttththtthhxhtththtxhth"
"2023-01-14 09:59:20","AlexandraSarafoglou","1EUR","t","tttthhhxhhthtthttthhthhhttththtththhhhtttthtthttttthxhthtthxhhtttthhhhhthhhhhthhtttttthttthhthhtthhhhth"
"2023-01-14 10:04:50","AlexandraSarafoglou","1EUR","h","tthhthttththhxhthhhtttthtthtthhttxtxhttthththhtthhhhthhhhtthhhthxhhhxttuhttthxhhhtxhthhhthhthtthhttxththhhthh"
"2023-01-14 10:10:23","AlexandraSarafoglou","1EUR","t","hhtthtthtthtththtthhhttthxtthxtththththhttttththtttththhtththttttththhthtttthttthhhttththhtttttxtthhhhh"
"2023-01-14 10:15:10","AlexandraSarafoglou","1EUR","t","xhhhthhthththhhhthhttththxhtttthhhthhttxtthxhhhthhtthttttthththttthhthtthttththhhhhtththhhttthhhhttttxhhh"
"2023-01-14 10:19:40","AlexandraSarafoglou","1EUR","h","hhhtthhhhhhthhhtttthxtthhhttthtththhhhhtthtttththhthttthhhtthhtthttthuththttthttthttttthhthhtthhtttttxh"
"2023-01-14 10:24:46","AlexandraSarafoglou","1EUR","h","tthxtthththtththtthhhhhhthhhhhthhththxhthttthththtthxttthhthtxhhththxttttttthtttthhhthttthhhhtthxhxhhhhtxhhh"
"2023-01-14 10:35:02","AlexandraSarafoglou","1DM","t","ttttxhxthhtththhxthtxttthhhhhthhthhtthtththttthttxtthttxhttthhhthtttthtttththxttthtxtthhhhhtthhthhtthhtthhht"
"2023-01-14 10:39:55","AlexandraSarafoglou","1DM","h","ttxhthxthhthhthhhhhthhhhthtthhhththhthhhxhttttthtttthhththhhhthtthhxtttthhhhhtthhthtthtthhxxtxhthxxhxhhhthhhtt"
"2023-01-14 10:45:57","AlexandraSarafoglou","1DM","h","xhthtttthhxhtxhhhxhtththxhhhhhtthxttththttttxttxtttthxthtthhhhthtththtttthxhhttxttuhhththxttttxhhthtththtthhththth"
"2023-01-14 10:52:38","AlexandraSarafoglou","1DM","t","tthhhhthtththhtthhthhhhhttttxtthttthhhhhthhtttthttttxthhttthxhthtthxhhhhhhhtthhttthttthhhthhhhhxhhthhttht"
"2023-01-14 10:57:48","AlexandraSarafoglou","1DM","h","tthttxthtththhhhththhxhthtthtthtthhthhhhthhhhtxthtthhtxthhtthhhhhuhhthhxtthhtxthtthhttthhthtttthtththhhttht"
"2023-01-14 11:03:15","AlexandraSarafoglou","1DM","t","hxhhthhhhttxthhhthxhhhhhthttttthhtxhxtthhhuthhhttxhhtttthttththxxhthththhtttttttttththhxtththtthtthtthtthxthttxt"
"2023-01-14 11:08:13","AlexandraSarafoglou","1DM","h","hthhhttthhthhhhtthhthxtxhththhhtttthtxhthhhthhthhtttxhhhthuxththhhtxthttttttttttthhhtxhthtxhttthttttttthhhhth"
"2023-01-14 11:12:54","AlexandraSarafoglou","1DM","t","htthhhthhhththhtttthhtttxththtttxttthhthttttthhthhhhhhxthtthhthhhhthhhthtthhhhtthhththhhhththtthhhthtth"
"2023-01-14 11:17:57","AlexandraSarafoglou","1DM","t","hhhxhhhhxhhttttthtthththhtthttthxththhhthththhtthttthhhhxthtxhtthhhhththxhhttthhththhhhtththhththhhtththxht"
"2023-01-14 11:23:45","AlexandraSarafoglou","1DM","h","tttthhhthhhthtttthttttththtthhtxthhtttththxttthttxthhhhthtthttththtthhhxtthhhxttttthxhhthhthtththhxxtthhhhtt"
"2023-01-14 11:30:17","AlexandraSarafoglou","2EUR","h","hhththhxtttthhtxtththhhtththhtttxhtththttttttxhhtththhhhhhhtthhxththtttththhhxtttxthttthhhhthththxhthhhtthhh"
"2023-01-14 11:35:12","AlexandraSarafoglou","2EUR","t","tthhhxhhththhhthhththttttttttththhtxhtxhxtthhthhhhhtththhthhttthhhtttthhthhhhhttttthtthhthtttthhhtthxhhth"
"2023-01-14 11:39:57","AlexandraSarafoglou","2EUR","t","tththhhththhhtththhtthhtthhhhhthtthtxtthxtthttththxhhthhthhthhhtthtthttxttthhtttthhhxhhththhhhtththththtt"
"2023-01-14 11:44:50","AlexandraSarafoglou","2EUR","t","hhhthhuhthththththhhththtxhhxtxttttxhhhthhtttxtttthxhhhtttthhtxthtttttthxhhhhhhttthhhhhhtttthxthhhtthhhhhtttth"
