"date","person","coin","start","sequence"
"2023-01-14 11:53:21","Arne","5SEK","h","xththhththhtttthhtxtththhhththhththhtxthxhtthhhuhthtttttthhhthhthhhthtthhttutthhhththttthhhttthhhtxhxthxhttht"
"2023-01-14 12:00:51","Arne","5SEK","t","xthttththhhxtthxttththtttttttxhhtthhhththhtxhhtthxhhhhhttttthttthtxhhxhhxhhtthhhththtxththttthhtttthhthhthhttt"
"2023-01-14 12:07:42","Arne","5SEK","t","txthhtxtthttthtthhthxhhtthhthththhhthhhttttthttxtthhthhthhhthhhtthhhtttttthtxththhhthhthhhtthttthhhtthhht"
"2023-01-14 12:13:50","Arne","5SEK","h","hththhthhhththtttthtthhhthhhhhhthhhhhhhthhthttttthhhhxttttttthhththxhthhthththhhhhhhhttthhhthtthhtthtt"
"2023-01-14 12:27:21","Arne","5SEK","t","tthhttthhhhhhthtthtxhthtthttthtxhhthhththxtthtthhtththhxtthtxhthhhtthhhtxtttthhtthhtttthhhthtthhtthhthtttt"
"2023-01-14 12:34:56","Arne","5SEK","t","ttxhhhtthhthtthhhhtxthhttxtttthhhhttxxtthxhhhtttttthhhhhthhxththhxtttttttttthtthtttxxttththhthtthhhhhttthhthtt"
"2023-01-14 12:42:33","Arne","5SEK","t","hhththttttthhttttthhhtthtxhhththhhthtttttxttttthhhthhthtttttthhhxtxhhttxhtxtthtthhxhttxtthhhhhhhhhthttxhthttt"
"2023-01-14 12:49:18","Arne","5SEK","t","hhhthxxtxttttxthtthtththhthtthhhtththttxhhhhhhhhtttttthtthtxthhttthhtttthhtthhhhttthxhtthhttthhhhhtttthxhtth"
"2023-01-14 12:55:54","Arne","5SEK","t","httthtthtxhttthhhhtthhthttttxhtthhthhtttttththhthhthxthhthttttthththththhhhthththhtthtthtxhhhhhhhthhhhht"
"2023-01-14 13:05:56","Arne","2EUR","t","txhttthhtththhhhhthhthhthhtthhhhttthtthtxhhhthttthhhhhtxhthhhthhhtthhhhththttttxhhthhxhthhththttttthttttt"
"2023-01-14 13:44:27","Arne","2EUR","t","ttthhhthtthhttthhtththhttxxtththtxhhthhtthtttthtththtttthtxhthtthtxthhthtthttthtttthxthxtthtxttththhhttthtth"
"2023-01-14 13:49:58","Arne","2EUR","t","thhhththhttthhhhhhhhtttttthhtttthxttthhhtxthhxhthttttxththhhthtttthhtttthhhtthxthhtthhthhhxhhttxhhththtthht"
"2023-01-14 14:02:31","Arne","2EUR","h","htthhhhhhhhththhhhhhttthhhtthhhhtththtxhhhttttthhthtthtthttthhhhhhtttthtttththhtxhhhhhhthtthtthhhthhht"
"2023-01-14 14:09:35","Arne","2EUR","h","ttthththhthhttxhtthtxthhththththtxhhtththxtthtththttthhhxhhhhhtthhhhthhtxththhttththtttthhthhhttththhhtthh"
"2023-01-14 14:15:19","Arne","2EUR","h","hthhthhhhhththhhhttthttttthhhhththhhththtthttthhthxttttttthhttthhtttthtthhhhtttthxthhhhhthhhhhhttthttt"
"2023-01-14 14:23:18","Arne","2EUR","t","thtttthhhhtthhththtthtttththtthhthhtththtthhhhxhtttthhhtxhhthththhhhttttththhhthhhhthhttxthththttxhhhhht"
"2023-01-14 14:30:40","Arne","2EUR","t","hthtthtthtthhthththhttttthtthhtthhhthtxtthhhhthxhthhhhthhhhxxttthtthttxhxhthtthhhthhthhttthhthhththhtxthttt"
"2023-01-14 14:38:04","Arne","2EUR","t","hthththhttththhthhhhthtthhxxxxtttxhtthhhhhthhthhttthhhhhxhtxhthttthttthtxthtthhtthhhhththhtttthhththhtttthth"
"2023-01-14 14:45:43","Arne","2EUR","h","tthhhhttxhhthhthtxthhtthtthttttttththtttttxttthhhhtttttthhhhthhhtxthhxtthttthhhthtthththhhtttttthhhhtthtt"
"2023-01-14 14:57:30","Arne","1EUR","h","xxtttthhhtxhhthhhttthttthhhtttxhhtththhhxhhhhhhhhtthtthhhtxhhhthhxhthhthhtthtthtthththhhhhthhtxthtththhttthxxt"
