"date","person","coin","start","sequence"
"2023-01-14 10:12:19","EJ","2EUR","h","txhhhhhhhhttththhtthhhtthhxthxhhththxxthththtxtxxtthhththtxxhhttxhhhhtthhththhhhtttththxthtthtthhhthttxtthhhhttht"
"2023-01-14 10:26:25","EJ","2EUR","h","hxhhxtthhhthtxtththttthtttthhttththxhxhthxtxthhttthhhhtthhttthxtthhtthhtttttttttxtthxthhxtthhthxxthtthttthxhthhtxht"
"2023-01-14 10:34:23","EJ","2EUR","t","ttxhthhhhtxhhhththhhtxhtttthtthxxhhthhthhttthhhhthhhthxxhthhtthhhtthhthhhhthhhththhhttxtttthttttththttththtt"
"2023-01-14 10:41:29","EJ","2EUR","h","ttttttthhttthhhtxthththxthttthhtthhhhtthhhhhhhtttxhtttttttttththhhxxthhhhtttthhhxtthhthhhtthtttttthhhhhhht"
"2023-01-14 10:52:43","EJ","2EUR","h","hxxtxhhtthhhthhttttthttttxthtxxxxxhxxxxxxxxxxxxtxxxxxxxxxxtthhthhhthhttthtxhthththhthhhhtthhhttthttttththhhtxhtthtthhthhthhttthtttxtth"
"2023-01-14 10:59:54","EJ","2EUR","h","hhtthhtththhththttthhthhtthtttthtxxhtxhthhhhhxxtththhhhhttthtttttthhhttthtthhthhhttthhttththtttttthttthht"
"2023-01-14 11:08:12","EJ","2EUR","h","tttthhhttthhhhthhhttttthtthttthhhtttthhttttthhthtthhthtthhhhtttttthttthtththhhthtthhthhhthxthhtthhtth"
"2023-01-14 11:15:02","EJ","2EUR","h","tttththtththxhhthhhthththhtthhhhhttthhhthttthhthhtthhttttththhhtttttttthhththtthtthtthhhthhhthtttthtt"
"2023-01-14 11:22:27","EJ","2EUR","t","tttthththhthhhhththhhhhhtthhtththtthttththttthhttxtthhhthhhthtttttthhthhttttthhthttthtttthththttttthh"
"2023-01-14 11:36:22","EJ","1EUR","h","tthhhhtthhhtthhhhththttthtththhhhhhthhttthhhttxththhhthhttttthhhtthhhhhhthtxxtthththhthtthhhttthtttttxtt"
"2023-01-14 11:45:26","EJ","1EUR","h","hththththththtthhtxthhthhthtththhtthtthhthhtthhhhttthxhhhthhhhttttthhxhhhhttttxththhthhhhhhhtthtthxtxthtth"
"2023-01-14 11:52:39","EJ","1EUR","t","thhthhthhtttthttthhtthththhhtttthxhtththtthtthtththtththtthhthhttttttthhhxhthttththhhtthhhttththhtthht"
"2023-01-14 12:01:25","EJ","1EUR","t","thxtthhhtthtthtthttttthhtthhhhtttttthhhhhtththhhhtththththththhthtxtthhtthththhthhttxttthxhhhththththhhh"
"2023-01-14 12:09:13","EJ","1EUR","t","xhhththhhhtthtthhthhhhhttththhtththhhthhttthhhttthhhhthhthttthththhttthhtthhththhthththhthhhthtthtuxhth"
"2023-01-14 12:16:59","EJ","1EUR","t","httthtththttthhththttthhththhthhhhhhxtthttttthtttthhhthtttttttthhtttttthhhthhhhhttthhhhhxththxttthttttt"
"2023-01-14 12:28:06","EJ","1EUR","t","thhhhhhtthhhtthhtthhthtthhthhhhtthtttththtthhthhthhthhthtxxhhttthttthttthhthhtthtthhhhhththhttttthtttt"
"2023-01-14 12:35:22","EJ","1EUR","t","thtttthhthttthhthhtthtththththtttththttthhhhhhhhhhhhthtttthtthtthhthtttthtththhthhhhhtttttttttththhh"
"2023-01-14 12:44:23","EJ","1EUR","t","xxhhhthhhxtthhtthhhxtthhhthhththttthxhhhhttthxxxxtttttthhhhttxhxhhthttthhhtttxtthtthttththtttthttttxtththhhhhhhhh"
"2023-01-14 12:51:36","EJ","1EUR","h","thtxhhtththhtthhhhhhthtttttthhtttxthhhthththhhxhhtthttthhhhttttthttttttxththtthhhhhtththhthttttttttththt"
"2023-01-14 13:26:06","EJ","0.50EUR","t","tthhthththhtthhhthhhhtthhhhhhtthththththhhhhtthtthttththhtththhttthhhhttthththtxthhthhtttxthhthhhtttth"
"2023-01-14 13:34:52","EJ","0.50EUR","t","hthxthtthtxhtttttthhtttththhtttthhhhttthxhhththxtthtthhhthhthhthththhttthtttttxttthttttxhhthxhthhhxtthththth"
"2023-01-14 13:45:05","EJ","0.50EUR","h","hhttthtthhhhhthhthhtthhhhhhthhhthhtthhtthtthhthtxthhtththtthhhtxhhhhhthhthxhhtttthxhhhttttxhthhhhthhththh"
"2023-01-14 13:52:33","EJ","0.50EUR","t","tthttttttxthhththhhhtttthththtttxtthhhxttthtxththtttttttxttttttttththtttthththhthtttthhhtthhhtttthtththth"
"2023-01-14 14:00:53","EJ","0.50EUR","h","thhhhhtthhthtthhhhttthttthhthhthhtthhhttthtxxhththhththhtthhhththhhhthhhxhhhtthhxhtthththtttxhththhhhttht"
"2023-01-14 14:08:18","EJ","0.50EUR","t","hthhhhthhtxxhhhhthtthhhthhhthhhttttththtttthhtththhttthhthhhthtttthhthtthtthhthhtthtttthtthhthhttthxhhh"
"2023-01-14 14:19:15","EJ","0.50EUR","h","thhttthtththxhthhhhttththhthhtthttttthttththtxhhhhthhhttthththhhhtthhhhhhtxhtththtthhhthhhhthtthhthtttt"
"2023-01-14 14:26:12","EJ","0.50EUR","t","xththhttthhhthhtthttthtxtthhhttththtththhhthtththhttthtxthttxtthhxhhthhhhhhhthttttttthhththhhtththxtththhh"
"2023-01-14 14:33:45","EJ","0.50EUR","h","htxhxhhhhhhhhtthhhthtthhththtthhhththhhhhhhtxthxththhhtthtththtthhthhhthtthhthhtththxtththtthhttttthhhttxt"
"2023-01-14 14:41:03","EJ","0.50EUR","t","hhhtththhttttthhthtththtthttxtthxthhtttthhtththhtthhhhhthththththxhthhhhththhttththhhhthtthhtttthtthhxth"
"2023-01-14 14:57:30","EJ","0.20EUR","t","hthhhhthhttttttthhtthhthhtthhhthhtxhhthhththhttthhhthhhhhhhthththtthtttthhhtthxthttthhtttthhthhhhththt"
"2023-01-14 15:04:39","EJ","0.20EUR","h","xhthhhxhhhhhhhtthhtthhhxttthtthhhhthththhhthxhhhthhhttthttthhttthhtthhttthhxhhththxthtxhtthttxtthhhthtttthhh"
"2023-01-14 15:11:24","EJ","0.20EUR","t","tthtttxhtthhhhhhhhththtththhhtthhhthhtththththhththhhtttttttxthhthhhhtttthhhtthhhhhhthhhthtxhhthhththtxxxxh"
"2023-01-14 15:20:02","EJ","0.20EUR","h","xthhhhhxhttttxhhththhtttthhhttttththhhhtthtthtththhthhhtthhthxthhhhthhththhtttthhthhthhhhtthtxtththtxhxxhhth"
"2023-01-14 15:27:19","EJ","0.20EUR","t","htttttthhhtttthhthththhthhhhhhththhtthhthhththhhttthhtthhhhhthththththtttxttxthtttthhtthhhthhthhhhhtht"
"2023-01-14 15:35:19","EJ","0.20EUR","h","hhtththtthhtthhhhthhttthhxthhthxttththhhhhhthhhhhxxttthtthtthtthhhthhhhhhhhtttxththhhxhttthtthxxhhhthhthhhtt"
"2023-01-14 15:43:30","EJ","0.20EUR","t","hhththhhttthhhhhthtthhhhthttthhhtthttthttttthhthttxtxxhttthhhttttthththttxhthxttthhhhtthhhhhttththtthhhth"
"2023-01-14 15:50:47","EJ","0.20EUR","h","htthtttttththtthttttxhttttthtththhthhttthhhhttthhhhhhthhhhhtththttttttththhxxhhtthxhhthtthhxththtxhhthttht"
"2023-01-14 16:02:38","EJ","0.20EUR","h","hthhtthhhhthhtthhthttxthththtthhttthhxhhthhhttxthhhttthhthththhtthhtththhhhhttthhhttthhhhtttttxtthtthhtt"
"2023-01-14 16:10:26","EJ","0.20EUR","t","txtthtthhttttthhhhttthhhtttthtthhththhhhtthththhxtttttththxthhhhtthhhhhthxtxttthtthtttthhthttthththtthttt"
"2023-01-14 16:21:27","EJ","50CZK","t","ththtthttththththhthhtttthhtthhthhththhhhttthhttthtthhhhthttttttthhtttthhtththhthhhhhthhhhtthhtthhht"
"2023-01-14 16:29:43","EJ","50CZK","t","xxttxthhtthhttthhtththhhththttttttthhhxhhhthttxhttttthtttttththtttthxhtttthtthhhhhhhhthtttttttththtttttttxh"
