date,person,coin,start,sequence
14-01-23 11:09,FrantisekB,1CAD,h,ttthhhhhththhtththhtxxthhtthttththtttttththhttthhhhtthhthxthtxhhhhthhtthxthththhhthhhtthtthhttthhthhtthtt
14-01-23 11:19,FrantisekB,1CAD,t,hhhtxhtttthhtthhhhtthhhthhtthttttthhhhthhhhhtththhtxhtthtthttthtthhthhhtxxhtthhhhhxthhtthtxthtxhthhhthhhhth
14-01-23 11:32,FrantisekB,1CAD,h,ttthtththxhhhtthhtttthtthhtttthttthhttthhttttthttttthhhththhthxthhttttttthtttttttthththxhtttthtxthtththh
14-01-23 11:38,FrantisekB,1CAD,t,tthhhhhhhthttthxththttthhhthhhtthhhhthtththhhthhhhxhhhthhttthhhtttthttthhtttthththttthhhhthxhtthhthhthh
14-01-23 11:44,FrantisekB,1CAD,t,hhtthhhhhthhtttththttthhxhthhtthtthhthhhhhhhhtthttthtttthhhthhthhtthhhthhthtttththttthhhtttxhtthttthhh
14-01-23 11:50,FrantisekB,1CAD,h,ttthhhhttthhtthhhhhtttttxtthhtttthhhxthhhxhtttxhhhthhhxhhthhhhthhhhthhhhhttthhhtxtthhthtxhhthhhtththhtttttt
14-01-23 11:59,FrantisekB,1CAD,h,thtthhhhhthtthtthtthttthtthttthhhhtthttttthhttthtttxthhhhtthtthththththhthhtxhttxtttthhhhttthhthhhhhhhh
14-01-23 12:04,FrantisekB,1CAD,h,hhhhtthtttthhhhtththhthhthhhhhhhttxtthhhthhtttthhhhhthttthttthhhttttthtttthhhhhhhhhttthhhttththhththh
14-01-23 12:11,FrantisekB,1CAD,t,hthhhthhhtthhtthththtxhthhthhtthhththtttxhhhhtthththxtthhhthhthhhthxtththhhthtthhhthtththhhthttthttttxhtt
14-01-23 12:22,FrantisekB,1EUR,t,txtttttthtthhththhhhhtttthhtttthhhthhtxhhtththhhhtthtthhththhthththtthhtthhtxtththtthhtthththhthhhhhhtt
14-01-23 12:28,FrantisekB,1EUR,t,httttxhxhhthhhthhhhttthhhtthhhhtthhttththhthhtttthttttthhtththhhhthththtxtthttttthtthhhhhhtthhtthtthhhh
14-01-23 12:34,FrantisekB,1EUR,h,tthhhthhhthhtttttttthhhthththhtttttttththtththhtthtttthhthhhtttttxtththhhttthhthhtthththttthhhhhhhhtt
