"date","person","coin","start","sequence"
"2023-01-14 09:45:14","Henrik","2Euro","h","tthhththxtthhhtththhtththhthhthhhththhhhhthhhttthhhhthhtxthhhthxthtthttthhhttthththhhhthtthhttttthhhxhtt"
"2023-01-14 09:51:21","Henrik","2Euro","h","hhhtthhthhthtttttthhhthtthhhhththhthhthhhththtxxhthtthttthttthhhttuhttttttthhhhtttxhhthhhhtthhhhtthhhtth"
"2023-01-14 09:56:21","Henrik","2Euro","t","thttthtthhhththhhhthhhhhthxttxhthhttthtthththhhhttttxtttthtttthhhhhtthhxttxhhtttthhhhhthhthhthhtxttththhth"
"2023-01-14 10:03:12","Henrik","2Euro","t","tthhxhthhhtthhththhhtthtttthttthhhthhhhhtttthththhtthhhtthhxttttthtthhthhthhhhhttthhhhxhhhtthtxtthhhtttt"
"2023-01-14 10:08:54","Henrik","2Euro","h","hhthhhhhxthhthhththhhttttxtththhthhthtthhhtxttththtthththhthhxhttthtthhtttxthhhhhthhxhhttthhxxhttthhhxtthttth"
"2023-01-14 10:15:06","Henrik","2Euro","h","tthhttttttthtthhhthhthtthhhhthhthhhthththtthhthhhthhhhhtttthhthhxhxhthxhttthhhtxhththxhthhhttthtthhhththt"
"2023-01-14 10:21:43","Henrik","2Euro","t","tttttthhhtthhhhthhthtthhhhthttththttttttthhthhhxthtthhhththththhhtthththhttxthhhttxthththhhhhtthhtttttt"
"2023-01-14 10:26:31","Henrik","2Euro","h","hhttxthttththhthtthhthhhttthtxhhxxtttttthhthhxhhhhhttthxthhhhthhhthhhttthtthttthhhttttttthxttththhtththhhtt"
"2023-01-14 10:30:57","Henrik","2Euro","h","hththttttththhhxhttthtthtthhhtthxttthhththhxhhhhhhthhthxhhttththhhhhhttttttttttttthhhhththttthhthhtththt"
"2023-01-14 10:41:46","Henrik","1EUR","t","htttttthhthhttttthhhthththhhtxtttthtxthththttttttthhthththhhhxhhhththttthtththhththtthhhtthhhtthxthhttxht"
"2023-01-14 10:53:16","Henrik","1EUR","t","hhhhhhhhtthhhhhtttxttthttthhhhhthtthhthththhhhhhhththhthtttthhtthhthxhhhhhhtttttththhutththxhthhhhhthhth"
"2023-01-14 10:59:08","Henrik","1EUR","t","tthhhhthththhtthhxthtxtxtthtxtxhhxtththtttthhhtthtthththhttttththhhhththhtthththtttttxhhhhhhhthhtxtthhtthhhh"
"2023-01-14 11:06:23","Henrik","1EUR","t","hhthtthhhttthtxtthtthhhxtththttttthhhhtththhhhtxthhthhhthttxhtttthtthxhtxthtttthhttxhhthththttttxtthhxthhtthh"
"2023-01-14 11:11:38","Henrik","1EUR","h","thhthhthtthhhhhhhththtttthtthtttttthhhhtthhhhhhhttthhtxthhhhthhthththtxhtthttthhhhxthxhthtthhhththhthtth"
"2023-01-14 11:17:37","Henrik","1EUR","h","httthttthhtthhhhxththtthtththtxhhhhthtxhxtthhtttttttthhthhhxthhthhxttthhxtxhhthtttthhthhthtttthhxththhthhttxhxh"
"2023-01-14 11:27:12","Henrik","1EUR","h","tththhhhthhthhthttxtthhhthxhhthhththhttttththhtththhhhththtxhhhhhhhtthxhthhhhttthttttthhxthhtxhhthhhhhtthh"
"2023-01-14 11:36:45","Henrik","1EUR","h","hthththtththhhhthhttttthththhttthhttthhxttthhhhhthhxtthhhtttttttttxthhttxhhhhhhxhhthhtthhhhtthhtthhtttxtht"
