"date","person","coin","start","sequence"
"2023-01-14 10:23:42","JanYang","0.50EUR","h","httxhtxthtthhhxhhhxxhthttttxttttttxttttttxhttxhhhthhthhxhxxxthhhhhhxttxtthhttttxhxtxxhtthxhhhhxttxthhhtttthhttttttththxxhhtxt"
"2023-01-14 10:46:59","JanYang","0.50EUR","h","thtthhttxhttttthttxthhttxxththhtxxtxtttxttxhhhxhtttttttxxhhhhxtttxhxhhhhhhthhthxxtthhhxxhhxtttthhhhttthhhxhhttxhhhthhhhhxtxt"
"2023-01-14 11:09:51","JanYang","0.50EUR","h","thhhtxxxxttttthhxhxttthhhtttthhhxhxhhhthxhhthhhtxhhxtxhttthhttthtttxhhhxxhhhxhhhhxxtttttxtxxthhxhxhxhhhxxxhhxttxhxxtthhhth"
"2023-01-14 11:29:58","JanYang","0.50EUR","h","ththhxtutxhhthhhthhxxhxttthxhhthxtxxhxhxhththhhtxtthxhhhhhhtxhxhttxhxthtththhhtxthhthhtxxxttxxtttttthththhxtthttthhhhxxhhththht"
"2023-01-14 11:53:36","JanYang","0.50EUR","t","tthhtttxtttxtthxttthtthtxxthtttxhxxtthhtttxxtttxhhxxtttththhtttthhhttthtttxtttthxhttttttxhttxhththhtttttthhhtttthhttt"
"2023-01-14 12:23:06","JanYang","0.50EUR","t","tthxhhttthtxtxtthxthhhhthtthhhhhthhhxhxhttttxhxhxtthtxthhhthhhhhhtttxthhxhttththththhxxthxhxttthxhthhththhhhhttttxhhhxt"
"2023-01-14 12:51:51","JanYang","0.50EUR","t","thththhtthhttxhtxxxxttttthhthxhhhhxttxthttthxhthxxhtthhhtttthttxhuttthtttxtthhttxhxhxhhttthxhtttthhhhhhhthxthhhxhtttxttht"
"2023-01-14 13:48:47","JanYang","0.50EUR","h","tththtxthxxxhtthttxxhhhtttttxtxxtthhxhhhhhhxthhxthtttxxtxtththhhhhthxhttxxthxthhhxhxhhhhhhtthhtttttttthhhtthhthxhttthxhxthhuh"
"2023-01-14 14:12:17","JanYang","0.50EUR","t","ttxthhttxhttxhttxhthttththhhhtttttthtthhhttttthxttthhththhhhthhttxtthhhtttxxhhhhxttthhhttxhhthhhhhhhhhxttthhhht"
"2023-01-14 14:23:21","JanYang","0.20EUR","h","ttttttxhhhtththhhhxttthtttttxhthxxxxthhtthhhhthtttttxhttthhtxthtxhhththttxhhttxxhhhhthhhtttthhhxhttthtxhththhtttttxt"
"2023-01-14 14:44:11","JanYang","0.20EUR","t","xxhttttttttuthtxtthhttthhthhtttthhthhtthhhxtthxxhtxhtthtthxtxhthththhhthtththhhhhthtxtxttxhhhthhtthhhhhhhhhxtththh"
"2023-01-14 15:05:44","JanYang","0.20EUR","t","htthhttthhttththhtthhhhhhhhthththhtthtxhhtttttttxhtttthhhhttthhhhthhxhxthhtxhhtxhtthhttththtxhhhhhtthttthtxt"
"2023-01-14 15:38:13","JanYang","0.20EUR","t","xthhxthttthhhtthhxttxththxtthtthtthhhththttththhhttttththhttttttttthxtxtthttthtxthtthtthttthtttxtthtthtxhhthth"
"2023-01-14 16:05:45","JanYang","0.20EUR","t","xtttththxththtthhtxththxthxhhhhhhhhhhtttttxthtthhhhhthhtththhththhthtttttttthxhtttxthhthhthttthhttthhhtthtxht"
"2023-01-14 16:29:07","JanYang","0.20EUR","t","hhthththhhtthtxhtththhuhhhxhhtthhxhxhxxhtthtxhtuhthhhhhththtthhtxtttxttthxxttththtthtxhhhhhtttthttthtttxthttttththh"
"2023-01-14 17:02:22","JanYang","0.20EUR","h","xhtthttthxhxthhuxhtthhxhhtthhhhthttttttttththhhhttxttthxhxhhhhttthhhtthtththtxttttthhhxhttxthtthhhtxthhthhhhtxthtt"
"2023-01-14 17:20:23","JanYang","0.20EUR","t","thttthhhthhthhthtthhhhhhhtthxhthxhtthttthtthhthxththhthxhhtththtthttthhhttthhhhttthhtttttxtxttthtxhhhhhhxtth"
