"date","person","coin","start","sequence"
"2023-01-14 10:12:06","RoyMichaelMoore","0.20EUR","t","txhhtxxxhxxhhhxthhhtxhhhhhhxtxttxhhhhxhhhhtxhhxhttxtxxtxhhhhtthxhhxhhttxtxthhtxxtttthxtthttxhthhtthxhtthtthxhhhhhhhxtxttxhhhttttxxhxxhh"
"2023-01-14 10:24:14","RoyMichaelMoore","0.20EUR","t","xxxtxhtxtxtttxxhhhtththxttttxhhtthtththttttttthtxhhthhtxxtxttxhxttttxthtthhhhttthtttthhththhxthhhhhhtthtthhtthhhhxththt"
"2023-01-14 10:35:57","RoyMichaelMoore","0.20EUR","t","xthhthxhtthhtththtthttthhhthhthtthhhtthhxhhhtxthhhtxhhhtthhxhhhthtthttthhxxthxthhhhththththhthhthhhthtththhht"
"2023-01-14 10:45:35","RoyMichaelMoore","0.20EUR","t","tttxhttttxhthhhhtthxttththhhtthhtthttthtutxtthhtxxhhhthhththhxhthtxtthhhhtthhtxttxtttthtttthhhhhttthtthtthxttxhth"
"2023-01-14 10:57:33","RoyMichaelMoore","0.20EUR","h","thxthttxhhttthttthhtthhttththxhxthhthxthhtxttthxthththtthhthhhtxthhxthhttxxtthtxxthhhtthtxhthxhttthxthhhthttthhthhht"
"2023-01-14 11:07:12","RoyMichaelMoore","0.20EUR","t","ttttttthtthhhhhthhthhttthttxttthhxhthhhxhtxthxhhhhhhthxhhthttuhhhhxxhtxtxthhtthhhthhtthhthxhxttthhhttttthttxtxttxtht"
"2023-01-14 11:15:58","RoyMichaelMoore","0.20EUR","h","ttthhthhtttthhtthttththtthhthhhhhhhhhtthththhhxhtxxhthhtthhhuthtthhtththtuxhhttxttthtxtthttxtthhhxtthhtttttttxt"
"2023-01-14 11:24:49","RoyMichaelMoore","0.20EUR","h","htutthhhtthhthxtthtthttttthxhthhthhthhtthhtthttxtxttthtxtxthhthtthhxxttthttttththhhtxttttthtxxthtttxhhhttthththhxt"
"2023-01-14 11:33:40","RoyMichaelMoore","0.20EUR","h","hhtttthxhhhtttthhhxhhththttttxththtxthhhhhtthtxthtthhtxthtxthhhthhthhhttxttthhthhttxtthhxhhtxtxxhhhxxhhttttthtttthh"
"2023-01-14 11:47:56","RoyMichaelMoore","1EUR","h","txhhtththhhthhhhththhhhhxxxhxhthhtthththhhhxthhththhttxxxhtttxhxhxthhtthhtthhhhhtxthttxtthtthuthhthxtttthhhtthuxhhuhhht"
"2023-01-14 11:54:58","RoyMichaelMoore","1EUR","t","thhtthxttthhtthtthtthtththhhttthhhthththhhtxhxxthttththtttthhhhhthtxtthhthuthhxhtttxhthxhthhhhthhhtttuththttth"
