"date","person","coin","start","sequence"
"2023-01-14 10:04:35","Sjoerd Terpstra","0.50RON","t","htxtthhtthththhxhtxthtxhhxxtttthxhhhttxxthxthhthxhhhxtxxxhhthhhtthxtttxxhhhxhttutttttthhxxhtxhhxhhhtththtuxxthxxtxtthhxxtuxththxhthtthxt"
"2023-01-14 10:17:55","Sjoerd Terpstra","0.50RON","t","txtttthhhhthtxthxtttuxttthtxhhtttthhxthhhthhxthtthtthtxtxhttthhtttxhhtttxhhhhhhttxxhhtxhththhhttxtthhhhtthtttthxxhthhxh"
"2023-01-14 10:25:04","Sjoerd Terpstra","0.50RON","t","tthththththththhxhhttttthtthhhhhhtththhtththhhttuththxhhhthtxhthhhhhxthtxthtxthttttttxhtttthxxxuttthhttxxxhthhxhxthtt"
"2023-01-14 10:31:56","Sjoerd Terpstra","0.50RON","t","txhhxthhtttxxthhthtxthtthhtthtuhxhhhhttxhxttthttxhhhhhtxtxhtttttuhhhhttthtthtxttthhhhtthtthhhhxhhxxththhhtuhxxxttttxhtthth"
"2023-01-14 10:38:23","Sjoerd Terpstra","0.50RON","t","thththththxthtthtththhhxxhtthtththhtthtthththhtththhhhtttthtthhthhtxxththhxxhhtthththxhhtxhtttttthhhtxxhthhhhxhut"
"2023-01-14 10:47:56","Sjoerd Terpstra","0.50RON","h","ththtxhxhhhhhhthtxttxhxhthhhtttttththththhhtththtthhxthxhhttttttthhhxhxttthhttthxhhhtuhththhtxhhhhxuxhtttttxhhhhttht"
"2023-01-14 10:54:59","Sjoerd Terpstra","0.50RON","t","hththhhtxtthhhxththhhtttttxxttththtxtthhththtttttthhxhhtthxhxttxttxhxhxtxthtthhhhhhxxthhtthtttthhhhxuthttthtthhhthhht"
"2023-01-14 11:04:53","Sjoerd Terpstra","0.50RON","t","txhxxhhhhttxhttththtttththttthhuxxtthtththtxthtxtthutttxhhtthhtthhttthxhhhthttxhxthhxtthhtxhttttthttthtthtthhtxtthuhht"
"2023-01-14 11:10:57","Sjoerd Terpstra","0.50RON","t","txthhtthhthtxthttxtxthhthtutxthttxtthtthhtxhthhxthtttthththxhhtththxthhttxtthhthxhhthtttthxhththtthhxthththhhttttxhh"
"2023-01-14 11:27:22","Sjoerd Terpstra","0.50EUR","t","thththttxhhxththxhhhhthhtttthtttuhhhxhhhhhttthttthttttthxhthttxththhhxhhhxxthhthhtthhhhhtthhthttxxhhtttxhxhtththhxxt"
"2023-01-14 11:34:23","Sjoerd Terpstra","0.50EUR","h","thhtttxthtxhhtthhxthttthhhthxhxhthttttthhhtthhtxxhxhhththtxhhhttutthtttxxtththxhhxththhhthhhtxhthxhhttthxuhxtttxhxtxhhthxht"
"2023-01-14 11:41:00","Sjoerd Terpstra","0.50EUR","h","tttxtxuhhhttttththhhhhhthttththxhhhhhttuxuxhthhhhhthtxtthhhtxtxhttthttthxthhtxxhhhhtththuxhtthxhhtxthhhhhxtttthtxtxththtxxt"
"2023-01-14 11:47:17","Sjoerd Terpstra","0.50EUR","h","ththhththhhthhxtxthhtxhhthththtxthtthxtxtxhththhxthhxttthtttttxttthhhxhththhxtthtthttthttuutxhhhhttthtthhthhhthttxtxh"
"2023-01-14 11:53:42","Sjoerd Terpstra","0.50EUR","h","thttthhhthhhhttthxhhtthtttxxhtxhhhhtthhuxhhthxhtthtxhxxthtthtthhtutxhhxxxhhxhttxthhtxhhxtthhhxththhhthhtxthtthxhxxtthhhhxhhxhxh"
"2023-01-14 12:07:25","Sjoerd Terpstra","0.50EUR","t","hhthhhtthhtttttttthhhxhtthhtthhthttxhththhhththtxhhhththhxtthttttttxhttthhxhthhttthttttttthththhhhthhttttxh"
"2023-01-14 12:13:32","Sjoerd Terpstra","0.50EUR","h","hhhxhthttxhthtthxttthtthhhtthttthuthtutxtthththtthhhththtttttxtthhthhhthhxhttttthttthththtththttxthhhxxttthxthxth"
"2023-01-14 12:20:27","Sjoerd Terpstra","0.50EUR","h","thttthhthtthhxtthhxhthhhhttttxttxthththhthhhttttthhtthhhtththxhhtththxthhxthttxtxtxthhhxhhtxthththtthtxxhhtthhhhxxtt"
"2023-01-14 12:27:44","Sjoerd Terpstra","0.50EUR","h","tthhhhhhhttthttxhttttttthtxthhxtthtxhhxhththhthtxhhtttthhxththhtttxuxtthttxtxhthhhhtxttxxhhhhhtxhhhxuthhhhthxttttthhttt"
"2023-01-14 12:33:56","Sjoerd Terpstra","0.50EUR","h","xhhthhthththththtthtttxtththhthththhuhthxhxhtttthxhhhxhhttxhhththhhhthtttthtxtthhthhxhtxhhthhhxttthtthhtxthhhhhhh"
"2023-01-14 12:45:08","Sjoerd Terpstra","2EUR","t","ttxhththttxtxhhththhhtxhhthtxhtthhhtttttttutthhxhtthttttttttthttxhtxxththhhhthxhtxhhttttthhhhththxhhhttthhthtttth"
