"date","person","coin","start","sequence"
"2023-01-29 10:05:23","frantisekB","10CZK","h","xhhtthtththxxtttthttththhhthtthhhttthhhhhhhtttttthhthhtxtthtthtthhttththttthhhthttthththhhthhtththhhhtht"
"2023-01-29 10:12:47","frantisekB","10CZK","h","thttthhttthtxthhhhtthhtththhhhhthtthhhhtthtththttxhhhthhtthtxtttthhthttththxthhhhtthhhhhthhthhtthtththth"
"2023-01-29 10:20:56","frantisekB","10CZK","t","tthhtttthhthhhhttththhthhtxttththhhthttxtttttxhtthhthththttthhhhhttttttthhtttttxtttthttxhththththtthtxhhtt"
"2023-01-29 10:27:26","frantisekB","10CZK","t","htthhhthttttthtttthxthhtthhththtthhxhhtththhhhttthtxtttthtttthhthtthxtttttthtxxhhhttthhtthtththhthtthtthhh"
"2023-01-29 10:34:00","frantisekB","10CZK","h","tthhhhtttthththxhhhthhhttthhhhhttthhhhhhhthhttxththxthtxthtththtxxhthttthtthtthhthttthttthhthtthhtttthtxhhh"
"2023-01-29 10:40:31","frantisekB","10CZK","t","thhttxhhtthxtthhthtxthththtthttthththththttthtthttthhhthttthttthtttthhtttthhtttthtthhxhhhthtthhhtthttttt"
"2023-01-29 10:46:33","frantisekB","10CZK","h","hthttthttthhthtttthtthhhhtttttthhtthtthhhtthxhttttththhhtxhhhxhtttthttthhxtthtxhththhttxutthhtttthhhtthttht"
"2023-01-29 10:52:05","frantisekB","10CZK","h","tththhhthtthtthtthtthtthhthhhhttththhhthhhthhtthhttttthttxhthhttttttthtththhthhththhhhhthtthtthtxhtxthh"
"2023-01-29 10:59:18","frantisekB","10CZK","h","hthhxttthtthhhhhuttthttttttttxttthxthhthhththhtxthhthttttttttthttthxthhhhtxthxthhhhthhthtttthtxththtttthhhtht"
"2023-01-29 11:05:30","frantisekB","10CZK","h","hhhtthhhhttthtttthhthttthhtthhttxtttthhthhtttththhhthhhthhththththtxhhttthhhttxhhhtththhhxhhthtthhthhhhh"
"2023-01-29 11:23:15","frantisekB","0.20GEL","t","tthttththtxhththhhttthhhtthhtthxthhtttthxhtthxxhhhthhhhhttthhthththxthtttthxthththhthhhhththhhhhhhtthhtthht"
"2023-01-29 11:43:37","frantisekB","0.20GEL","h","thhhhttthtthhhhttthhhhththhhthtthhtuthhhtxhhxhtthtththhtttttttththhhhththhhttttththhhhhxthththhhhhhhxhtth"
