"date","person","coin","start","sequence"
"2023-01-29 09:58:40","Henrik","1CAD","h","htthtthhtthhhxhhhtthttxthhththhtttxhtththhhthttttthttthhttxtthhhhthhtthtttttthhttthtthtthhhhththhhthtthh"
"2023-01-29 10:03:41","Henrik","1CAD","t","hthttththththhththhtthxhtthttttttthxhhhhthtthhhxthtththhhhtxtththttththhtthtthhhhhhhxhtthhhhththtththhhth"
"2023-01-29 10:08:09","Henrik","1CAD","t","tththhttttthtttthhhhthhhttthxthhhtthththhttthhhhhhhthhttthhhtththhtthtthhhhthtthhthtttthttttthhthttxtt"
"2023-01-29 10:12:26","Henrik","1CAD","t","htthhhttthtthhtxthhxthhhhhhtthhhhhhhthhhttxthhhhhtthtthtttttxhhtthhttttththhhhxthxhhtththththtthxthtttttttt"
"2023-01-29 10:17:53","Henrik","1CAD","t","xththhthhhhthhhhththttthttthhthttthxtxhtthtthhhthtxhhhtthhhthhtthttthhhhhhhtthhtthtththtxttthhhhhhhhthhtt"
"2023-01-29 10:23:01","Henrik","1CAD","h","tttthhttttththhththththtttthtthththttthhttthhxhhhhthttthhhthhtthtxhhhtthtththtthhxhtttthhhhxhthhtthttthxt"
"2023-01-29 10:27:51","Henrik","1CAD","t","thhhththtthhththhhhttttttthtthhtthtxhhthttthtxthxhthttxthhhththxtththhhhhhhhthhtthhthttthxhhtthtthhttxhhhht"
"2023-01-29 10:31:51","Henrik","1CAD","t","tththtththhhhhttthhhhhthtxhtthhthththttthhttttttttthhhttthtxttthttttthhththhttthttthththttthhttttththh"
"2023-01-29 10:36:09","Henrik","1CAD","t","tthtttthhxtxhxthtththhhtthhtxtttttxthhhthttthhththhhtthhthtthhuhttththhhhhhhhthhtxththhhhhtthtthtthhhhhtthh"
"2023-01-29 10:45:36","Henrik","2EUR","t","thtttxtthtththttthhththhhhhhhthhhhhthtthtththhhtttxthttthhthttttttthhxthhhttttththhhhtththtttthhthhttxht"
"2023-01-29 10:50:20","Henrik","2EUR","h","htttthhhutttthhthhhhtthhttuhthtththhthhthhththtthhttththhhhttthhthxhthhhhthhhhhttthhtthhhthththtththtxht"
"2023-01-29 10:54:51","Henrik","2EUR","h","hthhhhhhtthtttthtththhhhthhhtttttttttttthttththtthththhttttthhttttthttththxhtththttthhthtttxthhthtxhthh"
"2023-01-29 11:03:27","Henrik","2EUR","t","ttthhhthhhthhththhttthhhththhthhhthhhtthhthhhtttthtthththhhthtthtttxthhhthtthththhhthhthttthththtthtt"
