"date","person","coin","start","sequence"
"2023-01-29 09:58:32","KarolineH","1.00EUR","h","uxhhththxhttuththththththttttxththtxhhthxthhtxthhthhttttthttthhhhtttttthhxhuhthhththhtthhhhtxtthxxtthtxhxtthhhxhhttt"
"2023-01-29 10:06:56","KarolineH","1.00EUR","h","thtxhhhthhhhthtthtthtthttxththxhthhhtthtthhhhhhtthhttxhhhhhhttxtththhtthhhhhhhthttthhthththtttxthhtxhhthhth"
"2023-01-29 10:14:33","KarolineH","1.00EUR","t","thtthhhtthtxtttthhthttthttxtxttttttttthhthhtthhttthxhttthhttththtthhhxhhhhhttttthtthhththtttttttthhthhtxtt"
"2023-01-29 10:23:34","KarolineH","1.00EUR","t","htthhtthtttthhtttttthxhhxhhthhhxtthhthttttttttxththhthttthtthhhthtthtthhththttthtththhtthhxxxxhtthtththhthth"
"2023-01-29 10:30:57","KarolineH","1.00EUR","t","ttthhxhhhxhhthxhhthttttthtthhthhhthhxttthhhthtttxhhhhtxhtthhhhthhhhhthhhttttttthhhhhthhxhhhtuhthhhhthhhhhxtht"
"2023-01-29 10:40:26","KarolineH","1.00EUR","h","tthttththhthththhhhhththhhhhthththththtttxhtththhhhhtttththttxhthhhttttthxttthhhtxthhhttthtthttthtthhhhh"
"2023-01-29 10:48:15","KarolineH","1.00EUR","h","hthtthhthhttthtthhtxhtththhhtttththhthhtttthxtthhtthhtthhtthhhthhhtthtthhhhhthhthuhthxttthhhxhtttthhthhtt"
"2023-01-29 10:55:51","KarolineH","1.00EUR","h","htthhhtthhhtthhthhttthtttxhhhthhhthhtthththhththxtxhhthttttxhtthhhttthtxthththttthttththttthtthhhhthhhhhh"
"2023-01-29 11:05:24","KarolineH","1.00EUR","t","thhxxttxtthttthttthhhhthtthhhhtxxhhxthhhhhtthxhhthhttthxthhthxhhthxtthhhtxhhhxxthhhhtttttttthhttthhthttxtthhtxtthht"
"2023-01-29 11:13:12","KarolineH","1.00EUR","h","hhthtthhthhttxhhhthxhththhtththxxtthtttthhxthttttththhhhhtthhtxtttththttthhththxthhthhhhhttthhxhthtttthtxhthxh"
"2023-01-29 11:33:09","KarolineH","50CZK","t","htthhhhhhtthxhthxthtthttttthhtthhhhttxhttxthhxthhhhxtthhxtthhxhtthhtthtthxtxtththhhhhthttththhhtthhttthhtttttxh"
