"date","person","coin","start","sequence"
"2023-01-29 10:06:22","KatharinaKarnbach","1.0 CHF","h","xxxxhttxhthxxhxxthhhhxxthxhhhthxxtthtxhtxxtxxhtxthxthxhhxxtthtxxxxhxhxxxtthxxxxhhxxhthhhhxhththhhttxhhtxxtthtxhttthhxhhtthhhthttxthhhtxhthhhthhhht"
"2023-01-29 10:19:51","KatharinaKarnbach","1.0 CHF","h","hhhxttxhxxtthhthxhthtthhthxhhthtththhxxhhhhhttthxhthtthhtttxthhhtxhxxthtttttthxthttthhxhttxthttthhhttthhhhtthxxhtthtth"
"2023-01-29 10:34:43","KatharinaKarnbach","1.0 CHF","t","htxtxhthhhthtththththhxthhhtthhhthtxhhhhthhxthhtttthttththhxxttuhthhhhhxthhtttxhhthhtththhttttthttthhhtthhhthh"
"2023-01-29 10:46:28","KatharinaKarnbach","1.0 CHF","h","thttxhxhhhththtthhhthtuhthhhhtttthhthhthhthxtxtxttththththtthhxhtthttxxthtxttttthxxttttttttxxhhxhhthhhthhhxxtttththtt"
"2023-01-29 11:00:14","KatharinaKarnbach","1.0 CHF","t","hhhthtxtxthtththhthhtththhtthtxhththhhhxxtttxtxthhhxtththtthtththhhtxhhthttthhhxthtthhhthxhtttthhhthhtthhhthhht"
"2023-01-29 11:10:00","KatharinaKarnbach","1.0 CHF","t","hhtxhhththtthhhtthththhthtttthttthhttthhhhhhtttxhhthhhthttxthtttttxhhtthtttththhhhhthhhththhththxhxhthtxhhxh"
"2023-01-29 11:23:58","KatharinaKarnbach","1.0 CHF","t","xttxtxthtttthhhtthhttxtththhhtxtthththhhxthhhhhhtttthxththhhthhtththhxthhxttthtthtttththhhthhhttthhttxhtxthttht"
"2023-01-29 11:36:01","KatharinaKarnbach","1.0 CHF","h","hhttxthhthhhhhhhhtthhtttttttththtttthhhhhhhthhtththxhhhhtttththxtthhththhhhththhxxththxhthhthttxthtththtxhth"
"2023-01-29 11:45:42","KatharinaKarnbach","1.0 CHF","t","txhtttthhttthxttttxtththhthhhhhthhthhhthttthxhhhhtthtthtttxhhthhtthtthhtthhthhhxtthhhhhhhthtthhhtthhththth"
"2023-01-29 11:55:06","KatharinaKarnbach","1.0 CHF","t","ththhttthhthhhhthtxxhthhtththhthtthhhhthtxhhtttthhhxhhhhhtthtththththhttxttthttxhhtttttthhthtttttxhxhththhhxh"
"2023-01-29 12:15:37","KatharinaKarnbach","1.0 GPB","h","hhtthhtthhhhhthhhththhhthhhhththtxtththtxthhhhttxttttthhxtxttthtuhhhthhthhtththttthhxhxhhhhthxththhhttththhtxt"
"2023-01-29 12:26:40","KatharinaKarnbach","1.0 GPB","t","hhhthhhttthtttttththhhxhthhthttthttththhhxhthhhhhhhtthhhxxtthhhththththtththhhhhhttthhhthtttttttttththht"
"2023-01-29 13:07:05","KatharinaKarnbach","1.0 GPB","h","thtttththttthhhththttxtthhhththtttthththhtthththhththhthhththtttthtttthhtxxhhttththhthhthtthtththxthtthh"
"2023-01-29 13:19:10","KatharinaKarnbach","1.0 GPB","h","thhttthhtttttththththttthtthhtttthhhtttthttthhhhhhuhhhhhhththhhhhhthhhhthttthxhxthhhhhhhhhhttthxtxthxtthht"
"2023-01-29 13:33:28","KatharinaKarnbach","1.0 GPB","h","hhtthhhhhxtthhhhtthhthxthtttthtthhhhthtttthhxhthtthtthttthtxhhthhthhhhhtthtththhthhhttthtthhxhtttthhhtxthh"
"2023-01-29 13:41:46","KatharinaKarnbach","1.0 GPB","h","htthhtthttttthtttttttthtthhthhthttthhththhhtthththtttththhxxthhthhhthtththhhthxhhhthhhhttthhhhthttthhtt"
"2023-01-29 13:50:25","KatharinaKarnbach","1.0 GPB","t","xhhhththhthhhtxttttthtxtthtttxthxtxthhtxtxthhhhhhhhhtttthhthhtxhhhthhhtthhhtthhhhhtththtxhhtxxhthhhttthtthhthhhh"
"2023-01-29 14:01:59","KatharinaKarnbach","1.0 GPB","h","hhhththhtttttthhthxththhtthtththhththhthhtthhhthtxhhttxthhhhhtxthtththhxtttththhtxhtthhththhthtttthhttthth"
"2023-01-29 14:10:39","KatharinaKarnbach","1.0 GPB","h","httttthhthhhtttthhthhhttttttxhhhthhthhththtthtttxxhttthtththhthhhhhttthhhhtthhhthhttthtthhhtthhtttthhth"
"2023-01-29 14:23:40","KatharinaKarnbach","1.0 GPB","h","tththxthhhthththhththhhhhhhhtththhtthhtthxttthtthtthtthhttttthuthhhxththhhhhthtthttththhhhhhhthhhhhtttth"
"2023-01-29 14:33:10","KatharinaKarnbach","0.50EUR","h","thxhhhttthhhtttttthtththtxtthhthhhtthhthxhhhhhhttthhxtthhhhhhhxtthhthhhhhtthhhhhtttthtththxhthhhtthttthhht"
"2023-01-29 14:41:24","KatharinaKarnbach","0.50EUR","t","tttthhtttxtthhhttththhttthttthhhttththtthhhtththttthhhthtttttthhhtthhhhttthhthtxttthtthhhtthhhhhhhttxutt"
"2023-01-29 14:51:26","KatharinaKarnbach","0.50EUR","h","hhttththhtttththhtthhhtthhhtxhhhththhhhthhhttthhhhhhhhhhthtththhthhttthhtthtttthhthhhhthhthhhhhthhtht"
"2023-01-29 15:03:52","KatharinaKarnbach","0.50EUR","t","thttthhhhththtttththhtthtththhttxthhhhttthhxttthhtththhhxhttxhhhthhhhhhthxthttthttthhtthtthtxhthththhhthht"
"2023-01-29 15:12:31","KatharinaKarnbach","0.50EUR","t","hhhththxhthxtthhhhhhhthtttthhthhhththttthhhthhxhhtxtttthhththhththhthtthhhththhhththhttthhthhthhhtthttth"
"2023-01-29 15:21:22","KatharinaKarnbach","0.50EUR","h","httthttttthttttthtttththttththththtthtththhttttthttthhttthtthththhttxhhhhttthhhhhthhhhthtththxhhhhthtt"
"2023-01-29 15:29:56","KatharinaKarnbach","0.50EUR","h","httthtttththhthhhhthhthhhtththtththhtththhhhhhhtthttthhhhthtttthhthttthhhhththttttttthhuhhhthhthhthhh"
"2023-01-29 15:39:00","KatharinaKarnbach","0.50EUR","t","tuhhthttthhttthhtttththhthhhhhhthtttthhtthhhththhhtthtthhtththtthttthhhhtthtttthtthththhhthhtttththtt"
"2023-01-29 15:46:22","KatharinaKarnbach","0.50EUR","t","ttththhttthhhtttttxhhtttthhtttttthtthttttththththhhthththththtthhtttthhhththtttthhhhtxthhtthhhhtxhhhhht"
"2023-01-29 15:53:45","KatharinaKarnbach","0.50EUR","h","hthhhttthtxhhhttxthhhhxhhttthtthhhththtthhththhtxtthhthhtthtththttthhthtththhhtxhthhtttthhthhhhhtthtththh"
"2023-01-29 16:02:28","KatharinaKarnbach","1.0 EUR","t","hhhthttthhhthhtttttttuhtthhthhhttthhthhhhhhhhhthttthththhttthttttthhhtthxttttththhttthhtthtttxttthththt"
"2023-01-29 16:10:51","KatharinaKarnbach","1.0 EUR","h","hhhhhtthhtthttttthtxttttttthhhhhthttththhhhxhhhtthhtthhttthxtxthtttthhthhttthhthtttthhthhtthtthhththhxhht"
"2023-01-29 16:18:14","KatharinaKarnbach","1.0 EUR","t","hhtttthhthhhttthhhhhthttthhthttttthttttttthhhtthtthhtttxttxthxttthtttthhttthhtthhhhttxthhhthtthhthxhhhhht"
"2023-01-29 16:25:15","KatharinaKarnbach","1.0 EUR","h","txhthttthtttthtttththhhhhttttttthtthhhhhtttthhhthhhhtttthhttttxhtthhhhthhtthhhttththtththhththhhtthhhh"
"2023-01-29 16:33:54","KatharinaKarnbach","1.0 EUR","h","tthhhhhxttthtththtththhhhththhtthththhttttthththhxttthhhhthhthhtthhhhhththhhhhhthhhhhttttthhxthtthhhhth"
"2023-01-29 16:43:13","KatharinaKarnbach","1.0 EUR","h","hxhtthhhhhhthtxtthhthtttthtthththtthxhxthhtttttthhthhhttthhhttthhxthhxhhthttttthhxthhtxhtttthtttththhhththht"
