"date","person","coin","start","sequence"
"2023-01-29 09:48:47","KoenDerks","0.50EUR","t","thhtxhhhtxthhthhhhtthhtttxhhthhthhhthhhtxtththtttthtxhhthhhtttthhhththhtthhthhthhhthtthhhttttttthhthttthh"
"2023-01-29 09:58:20","KoenDerks","0.50EUR","h","ttxtthhhhhxhhthhththtttthhtxtthhttthtttthxhthtthtttthhthxthtttthhxthttxhttthtttththhthxhhhtthhhthhtxhtthhtthh"
"2023-01-29 10:04:47","KoenDerks","0.50EUR","h","tttthxhhthhhhhhthhttthhththttxttttthththhhhhtttthhtxhttthxhhthhtxhthttthhhtthhhttttthtttthhhhthtththhhthh"
"2023-01-29 10:11:21","KoenDerks","0.50EUR","h","thhhtththhthtthhthhtthhthtthhthhththththtxhthhhthhhhtttttthhtthhhhhhhttttxththtttthhttthhhhhthhtththth"
"2023-01-29 10:17:48","KoenDerks","0.50EUR","h","hhtttthxhtthththththhtttttthhhxhhhhthtthhhhthhthhhtthttttthththtttthhxtthhhhhthhhtxttttthhhhthttthhhhhht"
"2023-01-29 10:24:07","KoenDerks","0.50EUR","t","tththxhhhttththhtthhttthhhhthhththhhtxhttththuhtthhhtthtttthhhhhthtthhhtttthhhththhhhhtthtthhthhxhththth"
"2023-01-29 10:30:51","KoenDerks","0.50EUR","h","tthxttxthhthhtthttttththhhhhthhhttthhtthxthhxhhxhthhhxtxtthhhhhtthtxthhhtthhhhhthhhhttthttthththttttththhttt"
"2023-01-29 10:37:28","KoenDerks","0.50EUR","h","hhhhthhhhhhhhttthtttttttxhtxhhhttthhthtthhhththtthtthththtthhtthhtxttttttttthtththxhthhththhthhhhttthttt"
"2023-01-29 10:43:55","KoenDerks","0.50EUR","h","htxhhtththtthhhhhhhthhhhhtttxtxthhtxtxththtttttthhththhhhhthttthttththhtththhtttttthhtthhttttxttthttthhhxtt"
"2023-01-29 10:50:48","KoenDerks","0.50EUR","t","hhhhththhhhtttthhhxtthhhhththxhhxthhthhttththhttttthhxttthhxhhhttthhttthththhthhxttxthtttxhthhttxxtthtxthhhtthh"
"2023-01-29 11:06:35","KoenDerks","0.20EUR","t","xhtthttththhtttxthhtttththhttthhhtttthhtthhhttthhthhtthtttthhttttthhhhthtthhhhhhthtthhhthhhhhthtththth"
"2023-01-29 11:12:44","KoenDerks","0.20EUR","t","hththhtxtthththtthtttththhhtthhthhtttththhththththhtxtthhhhttthhhhtxhhhhhhhttttttttthhhhhhtthhthhthhhth"
"2023-01-29 11:19:08","KoenDerks","0.20EUR","t","hthththtthtxhtthhttthhhhhhtththtxttttttttthhhttthhhhthtthhthhhtxthhhtthhhhhhhttttthtthhtthhhthttthhhtth"
"2023-01-29 11:25:18","KoenDerks","0.20EUR","h","hhttththththttththttthhxttttttthhtthhhtthxhtthxthtttthttththttthhhhtthhhhthtttxthhhhtthhhtthhxhhthtthhtht"
"2023-01-29 11:31:09","KoenDerks","0.20EUR","h","hhththtttthttttthhhhththtthhttttthxhtththhtthtthtthhhhthhhtttxhttttththtthhhthtttthhhhhhththhthhhthhht"
"2023-01-29 11:36:43","KoenDerks","0.20EUR","t","hhhtttththhththhhhhhtththhthxhtththhxhhtthhhththhhtththhtthhhhtthhhxhthttththhhhttthtthhtthhhtttttthhhh"
"2023-01-29 11:45:22","KoenDerks","0.20EUR","t","tttthhththhthttttththhthhthhtthttthtthhthhhtthhttthhhhthhttxththhhthhththtththtthhtththhththhttttthtt"
"2023-01-29 11:56:52","KoenDerks","0.20EUR","t","hthhhththttttthhttthhthhhthththhhhthhhhthhhhtththtttttttxhhhthhhhtxhxhthtthttthththhtttxhthtthttthhtthth"
"2023-01-29 12:02:45","KoenDerks","0.20EUR","h","htthtttththhxhhthhtttxthhhttthththttxhhttttttxhhthhhhhhtthttttttthttthhhthhthhhhhtthhhthththxhthththhthht"
"2023-01-29 12:09:33","KoenDerks","0.20EUR","t","thhhhhttxtththtthxhhhhtttthhtthhhthhththhxtttttthhhtthtththttxhxhttttttttthhhthhtxhhhhttthhhttththtththttt"
"2023-01-29 12:22:57","KoenDerks","2EUR","t","ththhhhhhhthhththhthhtthxhhhthhhthtththhhthhhhhxhhhtxhtttthtthhthhthhhtthtttthhhhhthhthxhthhtxttxhhhtthhhh"
"2023-01-29 12:30:24","KoenDerks","2EUR","t","hhttthtttttthhhhthtththhhtttthhtthhhhhtttttthhtthxhtththhtthhhhtthhtththttththhhhtthhhxtthththxhhttxthht"
