"date","person","coin","start","sequence"
"2023-01-29 10:00:28","ThomasBastelica","0.10EUR","h","htththhhththhttththxhhhttthtthttthhhttttthtthhhhthtthhhxttthhhhtthhhhthttthtttthhttthhthhttttttththtth"
"2023-01-29 10:13:50","ThomasBastelica","0.10EUR","t","hthhhhtthtthttthhhtthhhhthhhtthhtthttththhhhttttthtxhhtthhhthththhttthhtththttthxhhhhttthttthtxhhttthth"
"2023-01-29 10:27:07","ThomasBastelica","0.10EUR","t","thhtttthttthtxhhhhhththhtxttthththhttthhthhthhhhthtththttttthtthhhthhhthhhhhthtxxthhthttttthxhhtthtthhhht"
"2023-01-29 10:39:53","ThomasBastelica","0.10EUR","t","xxhhhhtthttttttthhhttttthhhhhththhttthttthttthhhhhhhhhttttttthxhtttthhthhhtththttthtthtthhhthhthhtththh"
"2023-01-29 10:52:29","ThomasBastelica","0.10EUR","h","hhtttthhhthttttththxthtttttthhhthhttthhtthhthhhhhththhhhxhxhhhhthhhhttxhtxtxttttttttttxthththhhttththhtthth"
"2023-01-29 11:03:08","ThomasBastelica","0.10EUR","t","tththhtthhxhthhhtththhthhthtthhthhhttxttttthhthhhxxtttxthhtthhthhttthhhhhhthhhtthhttthtthttttthththttttth"
"2023-01-29 11:11:53","ThomasBastelica","0.10EUR","t","xuhthhhxttxttthhthttttthhhhhtthxththxthhxtthhttthttthththhhhthtthtthhhthxthhtttttxthttxhththtthhthttthttttthtt"
"2023-01-29 11:18:29","ThomasBastelica","0.10EUR","h","hthhxhttttttthhthhhhhhthhhtththtttthhthhthhthhhxthtttthththththhthhthtthtthhthtththhthhttththtxtxththtth"
"2023-01-29 11:34:34","ThomasBastelica","0.10EUR","t","tthhthhhttthhhhhxhhttthhttththtttttttthhhtttttthxthtttthxxhhttthhthththhthhthhhhhtthtthtthhhhtxttttxtthhtxt"
"2023-01-29 11:41:28","ThomasBastelica","0.10EUR","h","tththtthhhhthtthttxhhhhthttthhhhhttthtttttthtthxtthtthttthhhhhththhhhhhtthtththhttthhthxhthththhhthtttt"
"2023-01-29 11:49:59","ThomasBastelica","2EUR","t","ttthhhthttttthxhtthhhhtthhttththhtttthtthththhthhxthththtttththththhhhhhhhxttthttthttttxhtthhtththxhhthht"
"2023-01-29 11:56:41","ThomasBastelica","2EUR","h","hthttthhhhtttttttttthttthhthhhththhthttthhtththhhhtthxhttthhtthththttththhthhhthhtthhhthtthhhhhththtt"
"2023-01-29 12:03:40","ThomasBastelica","2EUR","t","hhthhhttththttxthhthhhtttttxhhhhththhhththhhxttththhhttthtthhththhhttthtthhthtxhtttthtttxutttxhhhhtxttxtththt"
"2023-01-29 12:10:24","ThomasBastelica","2EUR","t","hhhxhtththhhhthttthhhthhttthhthhthtthttthttthxttthttxthxhhthhhttthtthhthhhhthttuthtttttththtthhthhtxttthhh"
"2023-01-29 12:17:21","ThomasBastelica","2EUR","t","tthtthhththhhthhhththxhttttttttttththhthhthhhxthttthtttttuhththtxhhtthttthhtthhhhthhhhhhhtthttthhhthttht"
"2023-01-29 12:25:19","ThomasBastelica","2EUR","t","hthhhhhhhtttxhthhhthtthhthtthttttthtthtxtthttththhhtthtthththththtxttthhththhhthxththththhhhhhxthhthhxttth"
"2023-01-29 13:16:58","ThomasBastelica","2EUR","h","httthtttthttthttttttthttthhxhxthhthxhththtththtthhhhhxhthhhhhhtxhthhtththtthhhhtttxxhhhthhtththhhtxhthhhhtxth"
"2023-01-29 13:24:13","ThomasBastelica","2EUR","t","hhhhhttttthhthhhttxtthhhtttthhthhthhthtthhthtthtthhttththhthhhthhxthhhhhhthhtthhhhhhthhhhthththtththht"
"2023-01-29 13:31:11","ThomasBastelica","2EUR","t","tthxtthtttttthththtttthhttthththttxtthtxtthhttththhthhhttttthttxhhtthhhhttthhttttxthtthttthttttthtttthhth"
"2023-01-29 13:40:25","ThomasBastelica","2EUR","h","ththhxhthtththhtttttxthhhhttttthththhhhhttttthtthhthtththhtthtttthxhttththhhxhhhthhxhtthhhttththhtttthhht"
"2023-01-29 13:50:24","ThomasBastelica","50CZE","t","thtthththtttthhhtthhhhtthxtxhhtthhttthttththhhhhhtttthhtxtthhhhttthththhhxhthhhthhthhxhhhhttthththhhhhxthh"
"2023-01-29 14:05:29","ThomasBastelica","50CZE","t","xtxtttttthtthtxttthhththxthtthhththththtthhtttttttthhthttttthhhhthhtthttttthhhutxtthhththhttxhthhthtthhttht"
"2023-01-29 14:12:14","ThomasBastelica","50CZE","h","thhthxhhttthtttthtttthtththhhtthththttttththhhxhhhthttthhthththhhtthtttxthththhhhththhhthttxthhhthththth"
"2023-01-29 14:18:41","ThomasBastelica","50CZE","t","tthhttthhthhhhhthtttththhtthhxhhhhtthhhthththhhhhhhhtxhhhthtthhttthththhtttthxttthhhhthhthtththxhthhhtth"
"2023-01-29 14:24:36","ThomasBastelica","50CZE","h","ttxhhhttththhtththtththttthttthhhhhhthhhtttthhtthhtthttthhxthttthhthhthtxthhhhttthtththhthhhxthtthhhhthh"
"2023-01-29 14:30:10","ThomasBastelica","50CZE","t","xtthhthttthttttttttthttthhhhhthhthhttttthtthxttthtttthtthtttthtththttttthhhttththxththhthhhhttthhhhtttt"
"2023-01-29 14:35:41","ThomasBastelica","50CZE","t","hhhhhtttthhththhhhhhtthtthhxtthtthxtthtthththtxthhhthtthhthhtthhhxhhttttthhthhhhhtttttththxhthhtttxhttttht"
"2023-01-29 14:41:49","ThomasBastelica","50CZE","t","httththttththhhththtxtttuththhtthtxhtthtthhhtthtttttthxhthtttthhtthhtthhhhhthttxthhhhtthhthtttttthhthhtth"
"2023-01-29 14:48:18","ThomasBastelica","50CZE","h","hhhhhttttthhthhthhhhxhthttththhhhhhthtthhhhhtxhhhhhttthxtxhtththttthhxthththhtthththhttthhhttthtxhhhtthhht"
"2023-01-29 14:56:50","ThomasBastelica","50CZE","h","thhhthxhtthhhhthhthhthhthhtthhthhhhttththhtththtthhhhtthhhxtththhththtthhthhthhhhtthhtuxthhhhhhhhthhttth"
"2023-01-29 15:07:18","ThomasBastelica","1CHF","h","ttxthttxhhhhhtttthhthhhthhtthtthttthhttththtthhthhhhhhhtththttthtthttththhtxhthhtthhhhhthhhttththhththh"
"2023-01-29 15:13:32","ThomasBastelica","1CHF","t","hthhxxhtttxttthttthhttttttttthtththxttthtxthtthtththththhthhthhhtthhhhhtththhtthhhtttthhtttthxhhththtthhtt"
"2023-01-29 15:19:17","ThomasBastelica","1CHF","t","hthhtththhtththtttthhtttxthhtttthhththtththhthtttttththhhhttttthththhxththhhhthttttttthxhthtththhhthttt"
"2023-01-29 15:43:10","ThomasBastelica","1CHF","t","htthhhhttxthhttthhtthhhhxtthhththhhxththhthhhthttththxtthhhhhthhhhhhthtttththtttthhtthththtttthxxtthhtttth"
"2023-01-29 15:51:13","ThomasBastelica","1CHF","t","htttthttththhththhtttthhthtttxhtttththhttttthhhhhhhxthtxttthtththhththththhhththhhhhtthhtttttththhthttt"
"2023-01-29 15:56:39","ThomasBastelica","1CHF","t","hthttttthhtthhhhtthhhhhthxhhhhhtxthhtththtththhthtththtthttthhhttthhthttttttthttttththththhhhthhtuxhhhhh"
"2023-01-29 16:03:48","ThomasBastelica","1CHF","h","thhhthththhtttthhhththtttttththtttthhhttxthhhhhtthhhtttthttttthttttxtttthttthxtttxthtththtxthhhthhhhttttt"
"2023-01-29 16:10:21","ThomasBastelica","1CHF","h","hhthhtthhhhthttthhxhhhttxthtttthttthttthhthhhhthhtthhhtthhhhhttthtttththhhtttthhtthhtttthhtththhhhttht"
"2023-01-29 16:23:50","ThomasBastelica","1CHF","t","hhttthtxxhththttththhtthhtthtthhtthhhhhttthttxttutttthhhhhhthhhhxhthhhthhtthhthtxhhtthttththttthttxhhtthhhh"
"2023-01-29 16:32:19","ThomasBastelica","1CHF","h","hthhttthhhthhhhthhtthhthhttxhhtthtthttththhtththhthttxthhtthttttttthttthtththhhhhttththtththththhhhtth"
"2023-01-29 16:41:16","ThomasBastelica","1CAD","t","hhhhhtttttttthhhtthttthtthhhthhthhtttttthxhhhhhthhthtxhtththtthhhthttthhhhhhtthththhhhhhhhhhhttththhhh"
"2023-01-29 16:48:11","ThomasBastelica","1CAD","h","xhhtthxthhhhhhthhhtthhhthttththhthuthhthtttttttxhthttttthhhtthhhthhhththtthhhhtthhttththhhtththhhtttthth"
"2023-01-29 16:58:03","ThomasBastelica","1CAD","h","htttttttttttthttthhhtttthtttttthuhthtthtxhhhtttthhthtthhhtththhhthhhxhhhthtthttthhhhhhtththttththththtt"
"2023-01-29 17:05:07","ThomasBastelica","1CAD","h","thhhtxhhthhhthtthttttthhhthxhhtthhttththththhththxttththhtttthhttthhththtthhhxtxhtttttttttthhhhhhhthtthtt"
"2023-01-29 17:12:53","ThomasBastelica","1CAD","h","txtthhthhthtttththhxthhththhhhthhthtthhxhhhhhhhhtthhhhhthhhhtttthtthtxhttthhhhththhxuhthttthhthttththhttth"
"2023-01-29 17:20:10","ThomasBastelica","1CAD","t","hhthhhtttttthhthhttthhtxthhhhhthtxthhhtthhhhtthhhthhhtthhhhhhtththhhhthhththhtttxhtthhhhxhhhthhtxttthtttt"
"2023-01-29 17:29:33","ThomasBastelica","1CAD","t","tthhhththtthhtthhttttxhthhhxtththhhththhhhhhhthhhtthttththhthhtttttttttttxthhhhtttthtttthhhhhthththhhxth"
"2023-01-29 17:36:17","ThomasBastelica","1CAD","t","uuttttthhtththtthtttththhthththuhttthhhhttthtththhhhhhhhtthhtththhtthhhhthhtthhthtttxthhhhtttthhhththttt"
"2023-01-29 17:44:22","ThomasBastelica","1CAD","t","ttththtthhtthhhttthhhhhthhhtthththhthtttthhthhthhhthhhtxhthtthttthhxhtthhhththxhxtttththxthhththhhhhhttht"
"2023-01-29 17:51:04","ThomasBastelica","1CAD","t","thhthhhhhthhhhhhthhtthhttthxtthtthtththhhhhthtttthttthhhhthhhhttthttththhthttthtthhxhtthhhthththttxttht"
