"date","person","coin","start","sequence"
"2023-04-17 15:22:18","frantisekB","1CAD","t","hthhhhthxthhttttthhtthhththhhhtttttthxthtthhttthhhhhhthhhththhhhtththhhhhttthhthhttththxthhtthtthhhhttt"
"2023-04-17 15:27:08","frantisekB","1CAD","t","tthhhhhthhhhhhhhhhthhhthhthttthhtththhthttthhthtthhhhhhttttttththhttthhtthttthhhhtthhtthhtthththhhhh"
"2023-04-17 15:32:24","frantisekB","1CAD","h","htthhthhhhhttttthtxhththhhthtthttthttthhtttthhtthhtththtthtthttthtttttthhhhttthttthttxhhtthtttththhthh"
"2023-04-17 15:37:44","frantisekB","1CAD","t","hhhhhhhhthtthhthhtthhththhhhthhttththhttthhthhtttthhhtththhxthththtththhhhtththhthtththtthttthhthhxtth"
"2023-04-17 15:42:33","frantisekB","1CAD","t","thhthhhthhhhhhxhhtthtttthhthththxhhhtttthtthhthhxhhthththhhhthtthhxthhtthhtxthtthtttththhttxhthtthhtththtt"
"2023-04-17 15:47:30","frantisekB","1CAD","t","hhtttthhhththhtttxttthhthutthhtxthhtththhhthhhxhtthtxhthtttttthhhhthtthhxhtthhhtthtthhththhhtttthhthtxthttt"
"2023-04-17 15:52:21","frantisekB","1CAD","h","thhthtxhhhthhthththttththhhtthuttthhththhhhhhthtthxhhhtttthhhthttthtttthhthhhthhttthxhhttththhhtttttttth"
"2023-04-17 15:57:20","frantisekB","1CAD","t","xthhtttthttxttthhhhhtththhttthhhhhhhthhthhhxhhhhhttthhhthhhxhthttththtthtttxtttthhthththhthththhhthtthtxth"
"2023-04-17 16:02:13","frantisekB","1CAD","h","ttttthhhhthththhhhhhthhttuxhtthththhttttththtthhththhtthhththtttthtthhhhthththhhhthtthxtthtthhthhthhtth"
"2023-04-17 16:07:12","frantisekB","1CAD","t","hhhhthhtththttxttthtthhtthhhttttthtttthhhthhhttthtttthththhhtthhhhthhhhhthtttttxhtthtthhtththhtxhtththt"
"2023-04-17 16:12:10","frantisekB","1CAD","h","tttthththtththttthtthhhtthtthtththhthhththhthhhhxttthhhhthhhthtthhtttthtthththtttthhtxthtthxttthtthhthh"
"2023-04-17 16:17:53","frantisekB","1CAD","h","tthtththttthttthhxhthhttthttttthhhhhhthhththhthhhtxhhhxhxthhthhhhthxxttththhhtththttththhhttththhhhhxhhhthh"
"2023-04-17 16:25:03","frantisekB","1CAD","t","httttxhttthhhhhthtthttthhttttttthhtxtthhtthhthththtthththhhhhtthtthhhttttxthttthxttthtthtxhhhhhhtxttthhthh"
"2023-04-17 16:30:47","frantisekB","1CAD","t","thhxhhthhthhthhttttttthhtthtthhtthtttxhhhtthhthhthxththttthtxhthhxttxxtttthhxhththxtthhtttxtthhttthtthtththtth"
"2023-04-17 16:36:12","frantisekB","1CAD","t","thxtththtttttththtxtththhhhthhhtththhhthtthtthtththhhthhttthhhththhhthhtthhxhttxhhhxtthhhthtththhhhhthxttt"
"2023-04-17 16:41:38","frantisekB","1CAD","h","ttthtthtthttththhthhtttthhhththhhtxhtttxthththhttththxhthhhhthhhhhhtttxtthththhhhttthhthhhhtthhtttttttth"
"2023-04-17 16:46:32","frantisekB","1CAD","t","thhtthhttttttttttttththttthhhhthtthtttxthtttthxttthttthtttthhhhhhtthhthtthhxhhthtthtththhthhththhhhthhxt"
